SKU из Billing API (Sku.List), страницы объединены: id	serviceId	pricingUnit	price	name	description
  dn222q64f5mcjm36ed4q	dn2220hr46dtogekm57v	gbyte_hour	0.0198 RUB	Managed Service for ClickHouse®. Storage on local SSD disks	
  dn225qqwdy2tlp5fwlpi	dn2jfbheag6vvls7oplt	server_month	162.41 RUB	BareMetal. Server type BF25-i204-S with 1 day rental period	
  dn227oqi8elgkigqmrrj	dn2675dm5m59q3pira4b	1m_points	0.0 RUB	Monitoring — reading custom metric values of IGAUGE type	
  dn227y4gookblrlbfeb2	dn2o984h40l32p7t5nsv	1k_token	0.5 RUB	Text generation, Qwen3 235B model, input tokens, synchronous mode	
  dn229ek85qs9grfkj329	dn2jfbheag6vvls7oplt	server_month	160.73 RUB	BareMetal. Server type BA-i200-H with 1 year rental period	
  dn229q5mnmp58t58tfel	dn21qssbrdtcaus362kp	fip_hour	0.2635 RUB	Public IP address (dynamic or static)	
  dn22a1kcjaku9f3la9df	dn2qu7ck7veplf4kmbuh	core_hour	2.174 RUB	Serverless Containers. CPU usage time when processing queries in provisioned instance	
  dn22bidvs46qc1vrbpth	dn2hb3vlkb6qfih0pgv6	core_hour	0.0 RUB	Valkey. AMD EPYC Zen4 (Compute Optimized). Software accelerated network	
  dn22cc76b5ptltxkkhmv	dn2jfbheag6vvls7oplt	server_month	208.62 RUB	BareMetal. Server type LA-i105-SH with 3 month rental period	
  dn22cp9i6na9dl4vk0to	dn2220hr46dtogekm57v	gbyte_hour	0.7206 RUB	Managed Service for ClickHouse®. Computing resources of ClickHouse® hosts, AMD Zen 4 HighFreq, RAM	
  dn22csd7gfa3tvhrceoq	dn2ymqni7eesvh97h5ro	1m_request	0.0 RUB	FIFO queues requests	
  dn22dhakdgfrijul4v1f	dn2hjd8fhbb14l7vkp2c	gbyte_hour	0.7686 RUB	Managed Service for OpenSearch. Host computing resources, Intel Ice Lake, RAM	
  dn22fumkmlder1dd3ive	dn2hj92de1icl8k3m3bg	message	0.0 RUB	Yandex IoT Core. Messages sent via broker	
  dn22gei8leem2o46in78	dn2mse6mu1meu7orkmre	gbyte_hour	0.6139 RUB	Managed Service for Apache Kafka®. Computing resources of Apache Kafka® Raft hosts, AMD Zen 4 HighFreq, RAM	
  dn22gjn7tlquj2hvfva0	dn2hmdmghr9j2odlvssi	gbyte_hour	0.6806 RUB	Managed Service for PostgreSQL. Host computing resources, AMD Zen 4 HighFreq, RAM	
  dn22gla4ogdcyqew6fwp	dn2fat3ycizke72tqqwo	event	6.9642 RUB	CNS. Processing of SMS from other operators	
  dn22hbn1eusuvbpl52rh	dn2o8879r181fgps5lb3	gbyte_hour	0.9223 RUB	Managed Service for Apache Airflow™. Cluster computing resources, RAM	
  dn22hkxabbbobs6szeap	dn2thrwhzxl2ygay7nvq	core_hour	1.4975 RUB	Managed Service for YTsaurus. Component computing resources, Exec Node (Intel Cascade Lake with NVIDIA® Tesla® V100), vCPU	
  dn22ijs42i5gjtchkiuz	dn2fat3ycizke72tqqwo	event	7.7877 RUB	CNS. Beeline, promotional SMS, from 21 events per 1 recipient	
  dn22k6xa6r4qlss4drsu	dn2oxk4367kv6etfvj5x	phone_call	0.0 RUB	Monium. Phone calls count	
  dn22kriqyo64gjtyjgf3	dn2b0fi02sdmf46ijdl5	gbyte_hour	1.2212 RUB	Yandex StoreDoc. Host computing resources, AMD Zen 4 HighFreq, RAM	
  dn22lgpoih6ecj2feiv1	dn2kmsd7hrdeb1u7c4nb	10k_request	3.1622 RUB	Key Management Service. Cryptographic operations	
  dn22lrjf7unnsg5uj4yx	dn2hjd8fhbb14l7vkp2c	core_hour	1.4388 RUB	Managed Service for OpenSearch. Host computing resources, AMD Zen 4, 100% vCPU, CVoS for 1 year	
  dn22m6g59e6pfgnrblig	dn2b0fi02sdmf46ijdl5	core_hour	2.3497 RUB	Yandex StoreDoc. AMD EPYC Zen4. Software accelerated network	
  dn22mmxesen4wcezzbtt	dn2mse6mu1meu7orkmre	gbyte_hour	0.3733 RUB	Managed Service for Apache Kafka®. Apache Kafka® broker host computing resources, AMD Zen 4, RAM, CVoS for 6 months	
  dn22ob28a9q5fhu34d3h	dn2iqlgecrio4statr88	month	1194.3 RUB	Interconnect. Trunk connection via partner, 930 TB	
  dn22ofgmh7lgh2trggwd	dn2o984h40l32p7t5nsv	1k_token	0.41 RUB	Text generation, DeepSeek-R1-Distill-Qwen-32B model, input tokens, batch mode	
  dn22q9tst809lhe7jm6o	dn2jfbheag6vvls7oplt	server_month	225.7 RUB	BareMetal. Server type BA-i203-S-10G with 1 day rental period	
  dn22qacvosdvpihqi36r	dn2jfbheag6vvls7oplt	server_month	124.03 RUB	BareMetal. Server type LA-i107-S-1/10G with 3 month rental period	
  dn22slrn75k74g5asq86	dn21j2nquomme940r5rt	gbyte_hour	0.0064 RUB	Cloud Backup. VM backup storage	
  dn22tbvzk6ebajqvpnbt	dn2jfbheag6vvls7oplt	server_month	1052.25 RUB	BareMetal. Server type BA-i212-10S-10G with 1 day rental period	
  dn22th62mnp3shfu1qq2	dn2iqlgecrio4statr88	month	412.54 RUB	Interconnect. Direct trunk connection, 150 TB	
  dn22tot34oz6oz2j6ata	dn28hpu626uudbq0j8mk	gbyte_hour	0.4293 RUB	Managed Service for MySQL®. Computing resources of standard hosts, AMD Zen 4, RAM, CVoS for 6 months	
  dn22trik6ythofdcvbk5	dn2220hr46dtogekm57v	gbyte_hour	0.5161 RUB	Managed Service for ClickHouse®. Computing resources of ClickHouse® Keeper hosts, AMD Zen 4, RAM	
  dn22u5zxzz6crvpcqlcf	dn2jfbheag6vvls7oplt	server_month	2305.59 RUB	BareMetal. Server type BA-a612-N-25G with 1 year rental period	
  dn22un44apyqndj2ei5l	dn2jfbheag6vvls7oplt	server_month	316.28 RUB	BareMetal. Server type BA-i217-S-1/10G with 1 year rental period	
  dn22vrmol6tmlqmnflh0	dn2l7rvq9j43kk6ips5i	core_hour	2.3607 RUB	MPP Analytics for PostgreSQL. Computing resources of standard hosts, Intel Ice Lake, 100% vCPU	
  dn22vul9so5s15bpltls	dn22pas77ftg9h3f2djj	gbyte_hour	0.3063 RUB	Regular VM computing resources, Intel Cascade Lake, RAM, CVoS for 6 months	
  dn22wa5xetj5koja33ra	dn2o984h40l32p7t5nsv	1k_token	0.2 RUB	Text generation, YandexGPT Pro 5.1 model, tool tokens, synchronous mode	
  dn22xqyfpe4uk5dgb4oz	dn2jfbheag6vvls7oplt	subnet_hour	0.2166 RUB	Public subnet /27	
  dn22zhwrsgakotdgjndi	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, Qwen2.5 VL 7B model, input tokens, batch mode	
  dn22zvixmgiy5wtjjqjp	dn2jfbheag6vvls7oplt	server_month	2986.6 RUB	BareMetal. Server type CC-a4009-8N-2x25G with 6 month rental period	
  dn230992n4i28ast0313	dn2b0fi02sdmf46ijdl5	gbyte_hour	0.9882 RUB	Yandex StoreDoc. Host computing resources, Intel Cascade Lake, RAM	
  dn2320h8kdhmslmt2imq	dn22pas77ftg9h3f2djj	core_hour	1.1641 RUB	Regular VM computing resources, AMD Zen 4 (Compute Optimized),  50% vCPU	
  dn232gunmdllqdl5cicd	dn2hmdmghr9j2odlvssi	core_hour	1.7897 RUB	Managed Service for PostgreSQL. Host computing resources, Intel Ice Lake, 100% vCPU	
  dn2333h2iv190t06bon8	dn22pas77ftg9h3f2djj	core_hour	0.2196 RUB	Preemptible VM computing resources, Intel Ice Lake, 50% vCPU	
  dn234519saji1v5gtbk7	dn28hpu626uudbq0j8mk	core_hour	1.1244 RUB	Managed Service for MySQL®. Computing resources of standard hosts, Intel Broadwell, 50% vCPU	
  dn234oc3ua5wlwuknpas	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, Gemma3 1B it model, output tokens, batch mode	
  dn234x5yvleikg5uygye	dn2jfbheag6vvls7oplt	server_month	294.83 RUB	BareMetal. Server type  BA-i209-SS-1/10G-P1 with 1 day rental period	
  dn234z6au3ylmagjwlzl	dn2jfbheag6vvls7oplt	server_month	14.64 RUB	4 Tb HDD SATA Enterprise	
  dn235d3pbvsb1a8i1ite	dn22pas77ftg9h3f2djj	core_hour	1.1106 RUB	Regular VM computing resources, Intel Cascade Lake, 100% vCPU, CVoS for 1 year	
  dn2365bmgepnjvlx4a2e	dn2jfbheag6vvls7oplt	server_month	3395.31 RUB	BareMetal. Server type  BA-a702-6N-4H-2X25G  with 1 year rental period	
  dn2366igvzrb7fkgaxgn	dn2jfbheag6vvls7oplt	server_month	162.41 RUB	BareMetal. Server type BF25-i204-S with 6 month rental period	
  dn236d1rfr0t9ljba23o	dn27fg1qtguelq2d772a	100k_event	0.0 RUB	Audit Trails. Management event delivery	
  dn236l4bgtgbsqvugfjq	dn2jfbheag6vvls7oplt	server_month	181.45 RUB	BareMetal. Server type LA-i102-S with 1 month rental period	
  dn237e0l3j9208rdb2q8	dn2pr3ni7eesvh97h5ro	hour	0.8564 RUB	Network Load Balancer. Network load balancer	
  dn237vghgolroo4ydv5u	dn2jfbheag6vvls7oplt	server_month	872.71 RUB	BareMetal. Server type BA-i305-S-1/10G with 6 month rental period	
  dn2395q10bihjmm2b0v6	dn28okfvqh19eiue6l2m	gpu_hour	4.0813 RUB	Regular VM computing resources, AMD EPYC™, 1 GPU Nvidia A100	
  dn23a04l5tvmiooeeg08	dn28hpu626uudbq0j8mk	gbyte_hour	0.1757 RUB	Managed Service for MySQL®. Computing resources of dedicated hosts, Intel Cascade Lake, RAM	
  dn23ai3sr76sboszzyws	dn2jfbheag6vvls7oplt	server_month	721.88 RUB	BareMetal. Server type BA-i304-S-1/10G with 1 month rental period	
  dn23azulygrw3ol2v46k	dn2jfbheag6vvls7oplt	server_month	155.55 RUB	Intel Xeon Gold 6354 (18c/36t, 3.00 GHz)	
  dn23b3avjha2ie3tqf7i	dn2jfbheag6vvls7oplt	server_month	20.11 RUB	960 Gb SSD NVMe Enterprise	
  dn23b6o6lrum7ybdfagf	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, YandexGPT Lite 5 model, input tokens, asynchronous mode	
  dn23bjapbz7qnn6twea6	dn2jfbheag6vvls7oplt	server_month	63.25 RUB	24 Tb HDD SATA Enterprise	
  dn23bpiqtjcewqgkfgpp	dn2jfbheag6vvls7oplt	server_month	24.85 RUB	10 Tb HDD SATA Enterprise	
  dn23c5x27en4lpcax4q4	dn2ydbtgqogjqcrlbehu	gbyte_hour	0.0182 RUB	YDB. Temporary storage (spilling)	
  dn23c8vulo85q0h6v9mn	dn2hb3vlkb6qfih0pgv6	gbyte_hour	0.0029 RUB	Managed Service for Valkey™. Backups beyond storage size	
  dn23cqo2iry3rs4o4iou	dn28d4gpcfmv27l612lh	gbyte	4.6848 RUB	Security Deck. DSPM, detection of sensitive information in text format	
  dn23em5ur8pmc5oe1ugg	dn28hpu626uudbq0j8mk	core_hour	1.1244 RUB	Managed Service for MySQL®. Computing resources of standard hosts, Intel Cascade Lake, 50% vCPU	
  dn23f47oub924jn942p9	dn2jfbheag6vvls7oplt	server_month	850.07 RUB	BareMetal. Server type BA-i407-S-10G with 1 month rental period	
  dn23fgyko2gzetuogqic	dn2jfbheag6vvls7oplt	server_month	395.09 RUB	30 Tb HDD SATA Enterprise	
  dn23hq90a5khr3o6fivm	dn22pas77ftg9h3f2djj	gbyte_hour	0.3514 RUB	Regular VM computing resources, Intel Ice Lake (Compute Optimized), RAM	
  dn23ik6vvs2qq46zszjh	dn2jfbheag6vvls7oplt	server_month	41.48 RUB	Network 2P x 25G	
  dn23isedfywfby2oyzvc	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, Qwen3-4B model, output tokens, batch mode	
  dn23jegkplirzwq53u6g	dn2jfbheag6vvls7oplt	server_month	357.38 RUB	AMD EPYC 74F3 (24c/48t, 3.2 GHz) [Milan]	
  dn23jkrdimocsz35cb3j	dn2jfbheag6vvls7oplt	server_month	619.15 RUB	Server Base (with redundant PSU)	
  dn23jsum6s106g4llfad	dn22pas77ftg9h3f2djj	gbyte_hour	0.0134 RUB	Computing resources of dedicated hosts, local disk (SSD)	
  dn23jv4t2qihfnyoqsmf	dn2jfbheag6vvls7oplt	server_month	94.68 RUB	Network 2P x 25G (MC-LAG)	
  dn23mesissp7dp5jufbd	dn2jfbheag6vvls7oplt	server_month	2786.68 RUB	BareMetal. Server type BA-i523-NH-2X25G with 1 day rental period	
  dn23mikaaaiag3otpu0t	dn2mse6mu1meu7orkmre	gbyte_hour	0.0 RUB	Managed Kafka backups	
  dn23nr3s7o75ecypngw4	dn2l7rvq9j43kk6ips5i	core_hour	1.8414 RUB	MPP Analytics for PostgreSQL. Computing resources of standard hosts, AMD Zen 4, 100% vCPU, CVoS for 1 year	
  dn23nulcgejjcs3a5k6c	dn2220hr46dtogekm57v	core_hour	2.3875 RUB	Managed Service for ClickHouse®. Computing resources of ClickHouse® hosts, Intel Broadwell, 100% vCPU	
  dn23nxynp2wsmzzb5keq	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, gpt-oss-20b model, cached tokens, synchronous mode	
  dn23os41prg8rcrk1e2q	dn2jfbheag6vvls7oplt	server_month	1015.65 RUB	BareMetal. Server type BA-i211-8S-10G with 1 day rental period	
  dn23p37j3glbg4z4efsq	dn2jfbheag6vvls7oplt	server_month	4114.29 RUB	BareMetal. Server type  BA-i523-NH-2X25G-P1 with 1 year rental period	
  dn23ppvthcls7rjt5pol	dn28okfvqh19eiue6l2m	gpu_hour	0.6534 RUB	Preemptible VM computing resources, Intel Cascade Lake with Nvidia V100, 1 GPU Nvidia V100	
  dn23qiu76d61cm517u69	dn2k9ntpr7hljm0o71sg	secret_version_hour	0.0 RUB	Lockbox. Secret versions managed by Connection Manager	
  dn23scjuoahlsugwobue	dn2l7rvq9j43kk6ips5i	core_hour	2.0066 RUB	MPP Analytics for PostgreSQL. Computing resources of dedicated hosts, AMD Zen 4, 100% vCPU, CVoS for 6 months	
  dn23srlxojqmyxtjvjaj	dn2jfbheag6vvls7oplt	server_month	368.74 RUB	AMD EPYC 9374F (32c/64t, 3.85 GHz) [Genoa]	
  dn23u235i078al3krdgm	dn2220hr46dtogekm57v	core_hour	1.6444 RUB	Managed Service for ClickHouse®. Computing resources of ClickHouse® hosts, Intel Cascade Lake, 100% vCPU, CVoS for 1 year	
  dn23vafgcnjl7wzwax4c	dn2o984h40l32p7t5nsv	1k_token	0.1 RUB	Text generation, Qwen2 VL 7B model, input tokens, batch mode	
  dn23vk0nguhc9qe9v30c	dn2l7rvq9j43kk6ips5i	gbyte_hour	0.0198 RUB	MPP Analytics for PostgreSQL. Storage on local SSD disks, standard hosts	
  dn23xg3gocgea4ggcfms	dn2jfbheag6vvls7oplt	server_month	156.16 RUB	Intel Xeon Gold 6338 (32c/64t, 2GHz)	
  dn240oicjob6k1q1isf2	dn2hj22hpe85kloqo6ag	1m_request	0.0 RUB	Smart Web Security. Requests processed by WAF rules	
  dn242492ooe8t9884pit	dn2jfbheag6vvls7oplt	server_month	179.48 RUB	Baremetal. Server type BA-i100-H with 1 month rental period	
  dn2424aigb3pjjkcpmba	dn2jfbheag6vvls7oplt	server_month	706.99 RUB	BareMetal. Server type BA-i304-S-1/10G with 3 month rental period	
  dn242l2ivnhdd5so2oga	dn28okfvqh19eiue6l2m	core_hour	1.1529 RUB	Regular VM computing resources, Intel Ice Lake with T4i, 100% vCPU	
  dn243nnpi79c04cj181o	dn2jfbheag6vvls7oplt	server_month	186.38 RUB	Baremetal. Server type BA-i102-S with 1 month rental period	
  dn244ihnup7d24c2t7fa	dn2mse6mu1meu7orkmre	core_hour	1.2932 RUB	Managed Service for Apache Kafka®. Apache Kafka® broker host computing resources, Intel Ice Lake, 100% vCPU, CVoS for 1 year	
  dn246222g4vgyfep52tu	dn2jfbheag6vvls7oplt	server_month	1526.98 RUB	BareMetal. Server type BA-i507-NH-2X25G with 3 month rental period	
  dn246m59g9sl13nfs6td	dn20fgh8pg8d27h1cp7f	request	0.1627 RUB	Brand Voice Call Center. Speech synthesis	
  dn246rdisjcar3nabvhf	dn2iqlgecrio4statr88	physical_port_month	197.61 RUB	Interconnect. 100GBASE-LR4 physical port	
  dn246uedlfoxttyttloq	dn2jfbheag6vvls7oplt	server_month	1645.0 RUB	BareMetal. Server type HA-i502-N-25G-GxL4 with 1 day rental period	
  dn2475ofo3x5kvfmhy6a	dn2jfbheag6vvls7oplt	server_month	151.46 RUB	BareMetal. Server type BF25-i201-H with 1 year rental period	
  dn247633ncch74qta3t0	dn2jfbheag6vvls7oplt	server_month	340.58 RUB	BareMetal. Server type BA-i106-SH-10G with 1 day rental period	
  dn247qigcq66fq6t3tk5	dn22pas77ftg9h3f2djj	core_hour	0.356 RUB	Preemptible VM computing resources, Intel Broadwell, 100% vCPU	
  dn248idn3c3nuapmaers	dn2jfbheag6vvls7oplt	server_month	198.25 RUB	BareMetal. Server type BA-i202-S with 1 day rental period	
  dn24afa58k7ce6chrmtv	dn2iqlgecrio4statr88	month	1489.36 RUB	Interconnect. Direct trunk connection, 1 230 TB	
  dn24amh3e4ayvsty2lv2	dn2jfbheag6vvls7oplt	server_month	608.27 RUB	RAM 1024 Gb DDR5 ECC REG	
  dn24b7m6qol7tb7tukga	dn28okfvqh19eiue6l2m	core_hour	1.1529 RUB	Regular VM computing resources, Intel Ice Lake with Nvidia T4, 100% vCPU	
  dn24bdjs4so3d6rtivey	dn2jfbheag6vvls7oplt	server_month	2712.46 RUB	BareMetal. Server type  BA-a612-N-25G-P1 with 1 day rental period	
  dn24ca2sok3s4f2gzt2p	dn2jfbheag6vvls7oplt	server_month	575.8 RUB	Server Base (with redundant PSU)	
  dn24cev2jtdqmo5tlu7p	dn2jfbheag6vvls7oplt	server_month	1019.69 RUB	BareMetal. Server type BA-i112-10S-10G with 1 month rental period	
  dn24d8c7tsa6qgv1av52	dn2ul6hj517ba5ckvl0i	second	0.0 RUB	Yandex Load Testing. Test Execution	
  dn24ddqqool3cfijz45b	dn2jfbheag6vvls7oplt	server_month	15.55 RUB	6 Tb HDD SATA Enterprise	
  dn24e2w2qnhfmwozfpn6	dn2iqlgecrio4statr88	month	3904000.0 RUB	Interconnect. Direct trunk connection, 61 800 TB	
  dn24e3v89crr8gmd8m5d	dn2dtfaj8fno5r3beac3	1m_row	0.0 RUB	Data Transfer. Number of transferred rows	
  dn24fhsc8h68f51o549s	dn28hpu626uudbq0j8mk	core_hour	1.1244 RUB	Managed Service for MySQL®. Computing resources of standard hosts, Intel Broadwell, 20% vCPU	
